x[mm]	y[mm]	ampx_meas[mm]	ampy_meas[mm]	p2p_x[m]	p2p_y[m]
1.4	3.6	1.6815185	1.658939	0.003370217	0.003312465

1.6	0.4	1.5365565	0.279283	0.003070863	0.000558658
1.6	0.6	1.533264	0.3706095	0.003074406	0.000740822
1.6	0.8	1.5369615	0.4624675	0.003064869	0.000924714
1.6	1.0	1.5403675	0.5514755	0.003077274	0.00110439
1.6	1.2	1.536252	0.6469765	0.003075693	0.001295227
1.6	1.4	1.547565	0.7404855	0.003089097	0.001478769
1.6	1.6	1.5524445	0.831837	0.003104227	0.001670604
1.6	1.8	1.545747	0.9285185	0.003101796	0.00185669
1.6	2.0	1.570297	1.018656	0.003150825	0.002025743
1.6	2.2	1.5845585	1.107536	0.003151542	0.002222239
1.6	2.4	1.6104235	1.1982765	0.003226039	0.00239753
1.6	2.6	1.6266595	1.2733245	0.003274696	0.002555362
1.6	2.8	1.663591	1.3689035	0.003331951	0.002735433
1.6	3.0	1.7039225	1.4488575	0.003411057	0.002896741
1.6	3.2	1.7418045	1.532048	0.003486958	0.00306558
1.6	3.4	1.8013815	1.6097985	0.003591753	0.003225644
1.6	3.6	1.8555645	1.6870815	0.003696639	0.003385845

1.8	0.4	1.7244485	0.291182	0.003442377	0.000580848
1.8	0.6	1.722044	0.3815765	0.003451448	0.000763544
1.8	0.8	1.7249015	0.474183	0.003444656	0.000948507
1.8	1.0	1.727342	0.5691235	0.003455194	0.001135279
1.8	1.2	1.728491	0.6619895	0.003456196	0.001314417
1.8	1.4	1.7342735	0.7549985	0.00346529	0.001507323
1.8	1.6	1.737456	0.8502575	0.003446728	0.00170698
1.8	1.8	1.745385	0.950814	0.003489586	0.001899944
1.8	2.0	1.753468	1.0390905	0.003483069	0.002083023
1.8	2.2	1.780812	1.1346655	0.003548091	0.002263907
1.8	2.4	1.8008665	1.224576	0.003595627	0.002452441
1.8	2.6	1.8321205	1.3138605	0.003647574	0.00262984
1.8	2.8	1.851915	1.3959635	0.003689455	0.00279732
