@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %05s "LHCB2"
@ PARTICLE         %06s "PROTON"
@ MASS             %le        0.9382720814
@ CHARGE           %le                   1
@ ENERGY           %le                 450
@ PC               %le         449.9990218
@ GAMMA            %le         479.6050196
@ KBUNCH           %le                   1
@ BCURRENT         %le     0.0002071977779
@ SIGE             %le               0.001
@ SIGT             %le                   1
@ NPART            %le            1.15e+11
@ EX               %le                   1
@ EY               %le                   1
@ ET               %le               0.001
@ LENGTH           %le          26658.8832
@ ALFA             %le       0.00034799894
@ ORBIT5           %le                  -0
@ GAMMATR          %le         53.60570838
@ Q1               %le               62.31
@ Q2               %le               60.32
@ DQ1              %le         2.000004327
@ DQ2              %le         2.000004327
@ DXMAX            %le         2.886807711
@ DYMAX            %le                   0
@ XCOMAX           %le                   0
@ YCOMAX           %le                   0
@ BETXMAX          %le         6010.066268
@ BETYMAX          %le         6010.066268
@ XCORMS           %le                   0
@ YCORMS           %le                   0
@ DXRMS            %le         1.498432877
@ DYRMS            %le                   0
@ DELTAP           %le                   0
@ SYNCH_1          %le                   0
@ SYNCH_2          %le                   0
@ SYNCH_3          %le                   0
@ SYNCH_4          %le                   0
@ SYNCH_5          %le                   0
@ TITLE            %22s "Model creator for java"
@ ORIGIN           %16s "5.03.07 Linux 64"
@ DATE             %08s "02/02/18"
@ TIME             %08s "15.34.16"
* NAME                                S                  L KEYWORD            PARENT                            K1L 
 "MQ.27R8.B2"               1156.208403                3.1 "QUADRUPOLE"        "MQ"                     0.02698022857
 "MQ.28R8.B2"               1209.659887                3.1 "QUADRUPOLE"        "MQ"                    -0.02698474212
 "MQ.29R8.B2"               1263.111371                3.1 "QUADRUPOLE"        "MQ"                     0.02698022857
 "MQ.30R8.B2"               1316.562855                3.1 "QUADRUPOLE"        "MQ"                    -0.02698474212
 "MQ.31R8.B2"                1370.01434                3.1 "QUADRUPOLE"        "MQ"                     0.02698022857
 "MQ.32R8.B2"               1423.465824                3.1 "QUADRUPOLE"        "MQ"                    -0.02698474212
 "MQ.33R8.B2"               1476.917308                3.1 "QUADRUPOLE"        "MQ"                     0.02698022857
 "MQ.34R8.B2"               1530.368792                3.1 "QUADRUPOLE"        "MQ"                    -0.02698474212
 "MQ.33L1.B2"               1583.820276                3.1 "QUADRUPOLE"        "MQ"                     0.02698022857
 "MQ.32L1.B2"                1637.27176                3.1 "QUADRUPOLE"        "MQ"                    -0.02698474212
 "MQ.31L1.B2"               1690.723244                3.1 "QUADRUPOLE"        "MQ"                     0.02698022857
 "MQ.30L1.B2"               1744.174728                3.1 "QUADRUPOLE"        "MQ"                    -0.02698474212
 "MQ.29L1.B2"               1797.626212                3.1 "QUADRUPOLE"        "MQ"                     0.02698022857
 "MQ.28L1.B2"               1851.077696                3.1 "QUADRUPOLE"        "MQ"                    -0.02698474212
 "MQS.27L1.B2"               1901.13118               0.32 "QUADRUPOLE"        "MQS"                               -0
 "MQ.27L1.B2"                1904.52918                3.1 "QUADRUPOLE"        "MQ"                     0.02698022857
 "MQ.26L1.B2"               1957.980665                3.1 "QUADRUPOLE"        "MQ"                    -0.02698474212
 "MQ.25L1.B2"               2011.432149                3.1 "QUADRUPOLE"        "MQ"                     0.02698022857
 "MQ.24L1.B2"               2064.883633                3.1 "QUADRUPOLE"        "MQ"                    -0.02698474212
 "MQS.23L1.B2"              2114.937117               0.32 "QUADRUPOLE"        "MQS"                               -0
 "MQ.23L1.B2"               2118.335117                3.1 "QUADRUPOLE"        "MQ"                     0.02698022857
 "MQ.22L1.B2"               2171.786601                3.1 "QUADRUPOLE"        "MQ"                    -0.02698474212
 "MQT.21L1.B2"              2221.840085               0.32 "QUADRUPOLE"        "MQT"                               -0
 "MQ.21L1.B2"               2225.238085                3.1 "QUADRUPOLE"        "MQ"                     0.02698022857
 "MQT.20L1.B2"              2275.291569               0.32 "QUADRUPOLE"        "MQT"                               -0
 "MQ.20L1.B2"               2278.689569                3.1 "QUADRUPOLE"        "MQ"                    -0.02698474212
 "MQT.19L1.B2"              2328.743053               0.32 "QUADRUPOLE"        "MQT"                               -0
 "MQ.19L1.B2"               2332.141053                3.1 "QUADRUPOLE"        "MQ"                     0.02698022857
 "MQT.18L1.B2"              2382.194537               0.32 "QUADRUPOLE"        "MQT"                               -0
 "MQ.18L1.B2"               2385.592537                3.1 "QUADRUPOLE"        "MQ"                    -0.02698474212
 "MQT.17L1.B2"              2435.646021               0.32 "QUADRUPOLE"        "MQT"                               -0
 "MQ.17L1.B2"               2439.044021                3.1 "QUADRUPOLE"        "MQ"                     0.02698022857
 "MQT.16L1.B2"              2489.097506               0.32 "QUADRUPOLE"        "MQT"                               -0
 "MQ.16L1.B2"               2492.495506                3.1 "QUADRUPOLE"        "MQ"                    -0.02698474212
 "MQT.15L1.B2"               2542.54899               0.32 "QUADRUPOLE"        "MQT"                               -0
 "MQ.15L1.B2"                2545.94699                3.1 "QUADRUPOLE"        "MQ"                     0.02698022857
 "MQT.14L1.B2"              2596.000474               0.32 "QUADRUPOLE"        "MQT"                               -0
 "MQ.14L1.B2"               2599.398474                3.1 "QUADRUPOLE"        "MQ"                    -0.02698474212
 "MQT.13L1.B2"              2649.451958               0.32 "QUADRUPOLE"        "MQT"                  -0.000289443437
 "MQ.13L1.B2"               2652.849958                3.1 "QUADRUPOLE"        "MQ"                     0.02698022857
 "MQT.12L1.B2"              2702.903442               0.32 "QUADRUPOLE"        "MQT"                 -0.0003148724126
 "MQ.12L1.B2"               2706.301442                3.1 "QUADRUPOLE"        "MQ"                    -0.02698474212
 "MQ.11L1.B2"               2759.537926                3.1 "QUADRUPOLE"        "MQ"                     0.02698022857
 "MQTLI.11L1.B2"            2761.006926                1.3 "QUADRUPOLE"        "MQTLI"               -0.0007542811582
 "MQML.10L1.B2"             2813.768615                4.8 "QUADRUPOLE"        "MQML"                  -0.03084552023
 "MQMC.9L1.B2"              2850.466605                2.4 "QUADRUPOLE"        "MQMC"                   0.01578654439
 "MQM.9L1.B2"               2854.232605                3.4 "QUADRUPOLE"        "MQM"                    0.02236427122
 "MQML.8L1.B2"              2893.300594                4.8 "QUADRUPOLE"        "MQML"                  -0.03710915689
 "MQM.B7L1.B2"              2930.968584                3.4 "QUADRUPOLE"        "MQM"                    0.02572009347
 "MQM.A7L1.B2"              2934.735584                3.4 "QUADRUPOLE"        "MQM"                    0.02572009347
 "MQML.6L1.B2"              2969.262584                4.8 "QUADRUPOLE"        "MQML"                         -0.0024
 "MQML.5L1.B2"              3001.162584                4.8 "QUADRUPOLE"        "MQML"                  0.004487195854
 "MQY.4L1.B2"               3027.399584                3.4 "QUADRUPOLE"        "MQY"                  -0.007005447498
 "MBRC.4L1.B2"              3042.077584        9.450000502 "RBEND"             "MBRC"                              -0
 "X1ZDC.A4L1"               3053.842584                0.6 "INSTRUMENT"        "X1ZDC001"                          -0
 "BRANA.4L1"                3053.892584                  0 "INSTRUMENT"        "BRANA"                             -0
 "X1FCL.4L1"                3054.092584                  0 "INSTRUMENT"        "X1FCL"                             -0
 "MBXW.F4L1"                3114.300584        3.400000005 "RBEND"             "MBXW"                              -0
 "MBXW.E4L1"                3118.566584        3.400000005 "RBEND"             "MBXW"                              -0
 "MBXW.D4L1"                3122.832584        3.400000005 "RBEND"             "MBXW"                              -0
 "MBXW.C4L1"                3127.098584        3.400000005 "RBEND"             "MBXW"                              -0
 "MBXW.B4L1"                3131.364584        3.400000005 "RBEND"             "MBXW"                              -0
 "MBXW.A4L1"                3135.630584        3.400000005 "RBEND"             "MBXW"                              -0
 "MQXA.3L1"                 3148.287584               6.37 "QUADRUPOLE"        "MQXA"                   0.05573561673
 "MQSX.3L1"                 3148.756084              0.223 "QUADRUPOLE"        "MQSX"                              -0
 "MQXB.B2L1"                3156.702584                5.5 "QUADRUPOLE"        "MQXB"                  -0.04844012767
 "MQXB.A2L1"                3163.202584                5.5 "QUADRUPOLE"        "MQXB"                  -0.04844012767
