IP1  0.0276472 0.00054691 0.0308248 0.000608336
IP2  0.030338 0.000273002 0.0299659 0.000100061
IP3  0.030377 0.000166602 0.0291406 0.000118118
IP4  0.0293692 0.000122339 0.0302908 0.000139259
IP5  0.0302626 0.00022584 0.029603 0.000192333
IP6  0.0306711 0.000140255 0.0292693 0.00022191
IP7  0.0302352 0.000184054 0.0295141 0.000218694
IP8  0.0293263 0.00018027 0.0313449 0.000250287
