* NAME                                S               BETX               ALFX               BETY               ALFY                  L                MUX                MUY                 DX                 DY                DPX                DPY                  X                  Y                K1L               K1SL                K2L                K3L                K4L                 WX                 WY               PHIX               PHIY               DMUX               DMUY KEYWORD                           DBX                DBY                R11                R12                R21                R22 
$ %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le %s                                %le                %le                %le                %le                %le                %le 
 "SD1H"                     5.916933488         5.84417756        5.740810284        15.04032051       -6.873973257       0.0854334879      0.07785967408       0.1328638656      0.08030079274     0.004861552955     -0.08813979137     0.001967364709   -2.751090615e-06    1.151529126e-05                  0                  0       -3.946616829                  0                  0        5.220946475        6.753187393      -0.5464178154       0.2896221154       0.3374306885       0.1285091882 "SEXTUPOLE"                          0                  0      0.06732298186      0.05155779458      0.02628913707      0.01832878838
 "B1U.1"                       6.858342       0.3099203078        0.505408082        23.92512615       0.5679744583       0.6869425405       0.2125110296       0.1402119204      0.03737830644     0.005900224889      0.02634486318    -0.000352690712    3.157368662e-08    1.385601519e-05      -0.3895280198                  0      -0.3038070142                  0                  0        4.230990012         5.47490632      -0.1177573949       0.3294291887       0.3154773311       0.1374859648 "SBEND"                              0                  0      0.07529823678     -0.01253611484      -0.0046262564   -0.0008431514332
 "B1D.1"                    7.545284541        1.658551845       -2.659229172        17.44962912        8.252124322       0.6869425405       0.4650745708       0.1453281609      0.09563836662     0.004898878434       0.1483321276    -0.002574120419    2.029346565e-06    1.142134111e-05      -0.3895280198                  0      -0.3038070142                  0                  0        5.347142964        4.547246292      -0.5239341193       0.3474921952      -0.2024210659       0.1460241647 "SBEND"                              0                  0      0.07597633563      -0.0576957622     -0.03931992203      0.02826181244
 "SD2H"                        7.885184         4.02831995       -4.308633257        12.29919328        6.891494263       0.0852092939       0.4860636153       0.1490213689       0.1460480063      0.00402244905       0.1481587643    -0.002659429625    3.121836651e-06    9.341687843e-06                  0                  0       -3.561064524                  0                  0        10.11229762        14.25153668      -0.3648897737       0.2736380066      -0.1174180508       0.1472041926 "SEXTUPOLE"                          0                  0       0.0625637408     -0.06937614901     -0.03854768163      0.04151194895
 "SD2H"                     7.970393293        4.797596834       -4.716806003        11.15508343        6.542250264       0.0852092939       0.4891486009       0.1501791955       0.1586643007     0.003792421101       0.1479702882    -0.002752907381    3.413374156e-06    8.846292917e-06                  0                  0       -3.561064524                  0                  0        15.31695277        26.41710931      -0.3211816991       0.2633260154      -0.1029354829       0.1473412011 "SEXTUPOLE"                          0                  0      0.05922904123     -0.07089515445     -0.03777758991      0.04468004087
 "BPM.3"                       8.043184         5.50995151        -5.06953614         10.2234583        6.256433651                  0       0.4914019307       0.1512640314       0.1694349067     0.003592450207       0.1479702882    -0.002752907381    3.667909374e-06    8.431137177e-06                  0                  0                  0                  0                  0        15.66953795        26.13823857      -0.3165696237       0.2651165962     -0.09055364907       0.1487994041 "MONITOR"                            0                  0      0.05647918409     -0.07175402232     -0.03777758991      0.04742989801
 "QF3.1"                    8.400208227        8.631120236       -2.563330904         7.30122033        1.583104685       0.2900504557       0.4993867255       0.1580527609       0.2090545748     0.002830462454      0.05453369853    -0.001286095993      4.6271366e-06    6.918168408e-06       0.4755931218                  0                  0                  0                  0        16.75166449         25.3853998      -0.3011060716       0.2771402637     -0.05173109414        0.164846331 "QUADRUPOLE"                         0                  0      0.01433148442     -0.07132618248    -0.004683174094      0.02108231308
 "QF4.1"                    9.005145698        11.21763634       0.5992917759        5.998305077      -0.5872110431       0.2299253974       0.5089085926       0.1730271689       0.2334582701     0.002137266586      -0.0203556814   -0.0005692712479      5.3072682e-06    5.817242339e-06       0.3215265261                  0                  0                  0                  0        17.09308532        25.29242006      -0.2836996632       0.3059412388     -0.01867189744       0.2471654054 "QUADRUPOLE"                         0                  0    -0.009241336777     -0.06566757842   -0.0002566085936      0.00162760258
 "SF2H"                        9.265184        10.91396482       0.5769788379        6.320010098      -0.6507408157        0.120382444       0.5126492678       0.1797513314        0.228153435     0.001971069411     -0.02054876159   -0.0008717448201    5.248042131e-06    5.732515014e-06                  0                  0        5.636484357                  0                  0         11.7343594        12.50401817      -0.7080213028       0.4081332745       -0.014245858       0.2992175916 "SEXTUPOLE"                          0                  0    -0.009282121233     -0.06283554946     0.001062968363     0.001562347838
 "SF2H"                     9.385566444        10.77661573       0.5713526581        6.481117859       -0.683218265        0.120382444        0.514415925       0.1827451961       0.2256682329     0.001848134143     -0.02073962621    -0.001171098992    5.235111915e-06    5.663473561e-06                  0                  0        5.636484357                  0                  0        38.93794106        14.43424461       -0.735297708       0.6208069313      -0.0121285839       0.3249792308 "SEXTUPOLE"                          0                  0    -0.009127096993     -0.06155692169     0.002382779564     0.001303455014
